SpAD_Dt,ZMIC1,ATSC7p,GATS4c,CIC1,AATSC8i,MATS3p,MDEC-23,ETA_Eta_F_L,ATSC5s,VE1_Dzp,ATSC8i,MATS7p,ATS4m,AATSC2e,MATS7i,ATSC8c,TPC,SpMax8_Bhi,MATS5s,IC5,MATS3v,MATS3c,BIC5,GATS3e,minssNH,ETA_BetaP_s,MATS6c,GATS1s,GATS2s,GATS5s,C2SP2,CrippenLogP,SpMax3_Bhv,AATS8m,MATS2e,GATS5m,VR3_Dt,WTPT-2,ETA_Epsilon_5,AATS7v,BCUTp-1l,AATSC5p,MATS1m,MATS6v,MATS4i,GATS8e,ATSC7e,AATSC2s,SP-6,Class
3444.0152,111.8885,1.0601,1.1078,3.0318,-0.0991,0.0173,60.1757,14.3222,-36.3333,0.056,-13.8718,0.0333,19835.8193,0.0076,-0.0066,0.1053,8169,3.354,-0.1032,5.5736,0.0908,0.0409,0.8435,0.8248,0.0,0.6957,-0.0902,0.4793,0.5235,1.2088,20,0.0,3.971,92.9158,0.1073,0.943,31.88,0.0,0.8015,254.6815,6.0583,-0.0198,0.044,-0.1505,0.1338,1.0229,2.5341,-0.0255,18.2418,NonToxic
1412.3783,101.0685,-2.5792,1.2239,3.1807,-0.0654,-0.041,44.5031,13.7317,11.4623,0.0343,-9.3563,-0.0822,12883.7917,0.0279,-0.1025,-0.0037,2413,3.3488,0.0944,5.2471,0.0213,-0.0316,0.8024,0.7149,0.0,0.6628,-0.0442,0.6318,0.5552,0.8913,24,8.9712,3.7909,79.9471,0.433,0.8406,28.2796,2.1204,0.8093,230.6853,4.7199,0.0007,0.0689,-0.0523,-0.0617,1.7155,-1.9598,0.1102,9.529,NonToxic
1633.9653,73.2941,-5.4969,0.9232,2.1735,0.0843,-0.0765,37.5488,13.9774,-61.48,0.0051,12.483,-0.1805,14494.5241,0.0117,-0.1812,0.565,2254,3.2732,-0.2682,5.1991,0.0018,-0.1791,0.7914,1.0579,0.0,0.6818,0.3483,0.7371,0.496,1.623,15,6.9524,3.7566,65.8097,0.1973,1.2202,66.8884,2.085,0.7942,211.1648,4.8103,0.0263,0.0251,-0.1533,0.0061,0.6992,-1.878,0.0315,10.2605,NonToxic
1661.3697,75.2334,-7.6553,0.9347,2.2266,0.0298,-0.0894,40.5929,14.1564,-57.0542,0.0078,5.009,-0.2293,14908.5786,0.008,-0.1957,-0.0643,2326,3.2732,-0.2064,5.1779,-0.0251,-0.1151,0.7845,1.0056,0.0,0.6722,0.171,0.7969,0.5149,1.4253,18,7.263,3.8186,63.3404,0.1195,1.1762,34.2573,2.0797,0.7896,214.6507,4.8139,0.0337,0.0084,-0.1309,-0.006,0.9951,-0.4959,0.012,10.485,NonToxic
1634.1502,90.1954,-1.105,1.1855,2.6459,-0.0315,-0.0353,52.7343,13.5143,-29.3659,0.4174,-5.4787,-0.0291,14817.7007,0.0156,0.0262,-0.0081,3410,3.3059,-0.0704,5.9063,0.0135,0.0307,0.9054,0.7363,0.0,0.6648,-0.0489,0.4615,0.381,0.8024,23,7.8953,3.8543,73.3835,0.1803,1.0563,25.7867,2.1092,0.8417,219.5259,3.7207,-0.0008,0.0709,-0.0356,-0.019,0.7363,1.8481,0.4216,11.3221,NonToxic
1675.4968,117.5779,-1.0411,1.2662,3.357,-0.0573,-0.0912,52.3812,13.6093,-45.6338,0.0,-8.0251,-0.0321,14889.7834,0.006,0.0039,0.2246,2160,3.1868,-0.1081,4.9063,-0.0028,-0.0159,0.7539,0.8752,2.7191,0.625,-0.0175,0.5158,0.5819,1.5493,24,6.9106,3.8416,72.4984,0.0681,1.168,66.8884,2.085,0.8,220.5331,5.5486,0.0061,0.016,-0.1343,-0.1027,0.9038,1.0447,-0.0313,9.4548,NonToxic
1444.772,120.6415,-0.475,1.0958,3.5892,-0.0838,-0.1035,56.0611,13.5665,-58.8366,0.0,-10.8132,-0.0147,14469.4568,0.0127,-0.0357,0.026,2643,3.2933,-0.1583,5.5313,-0.0094,-0.087,0.8459,0.8429,0.0,0.6421,0.0411,0.4974,0.5613,1.42,23,7.8478,3.934,71.9938,0.1649,1.0669,65.6228,2.1062,0.8053,226.4845,5.6623,0.0047,0.0426,0.0,-0.0526,1.1138,-0.0297,-0.0274,10.3165,NonToxic
1108.1734,90.4737,-0.7675,1.3572,3.2531,0.0036,-0.0399,40.6558,11.4418,-8.846,0.0573,0.4626,-0.023,11504.6094,0.0058,-0.0432,0.1691,2140,3.056,-0.0706,5.3407,0.0081,0.1199,0.8389,1.0809,0.0,0.6216,-0.0718,0.5967,0.6722,1.1478,24,6.6447,3.8731,58.0697,0.1233,1.074,24.6228,2.119,0.7739,201.1337,5.6436,-0.004,0.0699,-0.0598,0.0127,0.4525,0.0703,-0.0223,8.3042,NonToxic
933.5382,76.0477,0.1373,0.9078,2.6636,0.3718,-0.1371,31.9506,10.0527,3.078,0.0639,24.5404,0.0089,9160.5191,0.017,-0.0687,0.2186,1642,3.0232,0.0226,5.3417,-0.0619,-0.1463,0.876,0.8696,0.0,0.6452,0.0058,0.7293,0.5326,1.1122,15,4.0987,3.7833,88.923,0.1963,0.9524,18.4061,2.1143,0.8083,240.2311,4.8938,-0.0027,0.0343,0.0772,-0.0604,1.72,-1.9931,0.1133,0.0,NonToxic
940.0342,82.4403,-2.1186,0.9631,2.7038,-0.3375,0.0011,35.6989,10.0152,-7.6069,0.0,-40.5049,-0.0802,11430.4729,0.0115,-0.0646,0.1633,1725,3.0259,-0.0205,5.1662,-0.017,-0.2394,0.8244,1.1285,0.0,0.6597,-0.1305,0.5613,0.5693,1.2078,16,4.5111,3.7135,67.7567,0.1282,1.0488,53.6912,2.0821,0.8252,214.1641,5.2332,-0.0163,0.0419,0.1353,-0.0986,1.2051,-0.2207,-0.0423,7.0505,NonToxic
